"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_130601T0",2253,2637,2531,2583,1815,2023,1190,810,1574
"PHYBL_130614T0",1190,1521,1537,2266,1655,1683,2428,2082,2159
"PHYBL_130666T0",439,471,411,641,383,445,368,314,387
"PHYBL_130696T0",7145,8702,9078,1288,995,1257,2945,2294,3254
"PHYBL_130729T0",1923,2727,2826,4912,2968,4275,1911,2369,2678
"PHYBL_130757T0",2926,4005,4654,1838,1740,1254,919,736,826
"PHYBL_130768T0",294,469,543,607,313,380,283,229,297
"PHYBL_130779T0",2585,2733,2885,4505,2955,2762,1788,1541,1767
"PHYBL_130798T0",649,837,795,1268,814,946,975,972,979
"PHYBL_130822T0",658,889,800,4116,3237,2502,1536,1087,1279
"PHYBL_130834T0",571,591,676,564,428,371,258,171,266
"PHYBL_130852T0",1263,1462,1630,1402,1057,937,772,701,756
"PHYBL_130873T0",141.985115678329,234,671.944339623601,4335.93720375744,9052.92661708506,1304,16,10,32.9683866762265
"PHYBL_130908T0",193,222,264,299,197,237,162,156,173
"PHYBL_130926T0",804,1147,1059,2282,1365,1661,647,498,725
"PHYBL_130942T0",6254,7379,7259,12480,8529,10800,6460,7246,10310
"PHYBL_130970T0",565,607,613,813,594,657,485,418,474
"PHYBL_130994T0",8777,9565,10006,5103,4911,3449,3065,2128,2660
"PHYBL_131007T0",27322,29312,28831,32520,26009,20294,15244,13100,15395
"PHYBL_131008T0",1147,1185,1375,1263,952,1097,840,742,795
"PHYBL_131015T0",275,334,403,700,493,403,202,199,225
"PHYBL_131023T0",597,682,851,2526,1118,1900,1356,1265,1645
"PHYBL_131051T0",3734,5070,4381,6750,5145,6001,2312,1507,2737
"PHYBL_131090T0",8083,9959,11436,4631,5197,4173,6278,6476,7180
"PHYBL_131093T0",5101,6770,6266,6171,4549,4782,1590,1233,1724
"PHYBL_131104T0",473,481,710,502,369,354,560,502,457
"PHYBL_131111T0",389,636,655,686,432,464,429,472,528
"PHYBL_131123T0",2126,2283,2289,3951,2578,2403,1423,1270,1631
"PHYBL_131129T0",1544,1477,1163,431,367,244,160,151,166
"PHYBL_131156T0",1311,1519,1355,1175,880,817,774,607,743
"PHYBL_131180T0",436,663,833,610,433,463,235,242,319
