"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_100201T0",10.2728788605872,12.7910811671568,9.1213974198285,29.0698838598685,20.3407644704757,28.4767541404331,8.02895737635969,4.64449382008101,7.39837298883793
"PHYBL_100217T0",0,0,0,0,0,0,0,0,0
"PHYBL_100229T0",5.1279618805879,5.07161940012718,5.36868517534549,22.38529055742,14.2665997078335,23.4106671380993,4.10896003496418,2.89036893664636,4.46352575899787
"PHYBL_100240T0",7.70313230534416,10.8375419423751,7.32524393799287,7.58083031103092,6.86974937745653,9.06313505970281,3.38550993223629,3.95589069309201,4.40084373701755
"PHYBL_100304T0",2.28967045890105,2.31604643022028,1.1494865615168,0.931910375082748,1.096421554889,1.99774869680417,0.482722125500665,0.383321259875191,0.39540250334001
"PHYBL_100335T0",8.79525959613212,8.96136309560503,6.02950009360244,24.6722956509014,18.8665468337903,26.5101686730543,5.49819848991394,4.69691154248475,4.90549736289621
"PHYBL_100373T0",0,0,0,0,0,0,0,0,0
"PHYBL_100399T0",1.01207299246015,0.735248570419542,0.544288086269671,2.09948953651227,1.50615937657226,2.5695203587961,0.23633438821011,0.150900504361157,0.433212105627294
"PHYBL_100400T0",1.28933610154789,1.83617980737138,2.52059249616021,0.221109560720278,0.202430592070178,0.459122668703837,1.18895107670505,1.91781139486341,1.98427507100565
"PHYBL_100404T0",17.0605425711278,29.3640676728846,24.4524090671738,22.1237945824529,18.9314465165621,22.4163967969554,4.50347398358124,3.44926532660612,4.3947950694611
"PHYBL_100411T0",2.75165682800915,4.06335195119402,2.63360054550465,4.74672564253967,4.38119979550037,5.90190807573768,1.32087315787399,1.79309253002168,1.81667940661026
"PHYBL_100427T0",3.49128561731338,2.51514835316465,2.00761610966165,1.46910892400007,0.567696763853748,0.942338690372821,9.18934460741192,8.73779377216686,9.13584850488859
"PHYBL_100442T0",1.87554168953306,1.98677335557588,1.70077067116127,51.2021840107552,27.3117548096619,31.7190699590468,133.48018062629,141.000182027774,102.858002062452
"PHYBL_100445T0",0.430586343211299,0.475835283570393,0.496021852914965,2.96861513484002,2.26373639489588,3.16966125523646,0.393827340858104,0.422693821531511,0.736438875698389
"PHYBL_100497T0",18.7210327624446,22.8439282404163,12.9930647166452,25.8451241861103,27.1363055636751,29.7255331313226,22.6204459453061,23.0026698746628,22.3869445384733
"PHYBL_100505T0",10.3362077243899,11.2389934387111,7.67686282198836,17.5366032708532,15.1168549550044,22.2922876782158,6.04237933426417,4.3433235319679,5.86893842918575
"PHYBL_100540T0",69.2729133745371,74.1529796725326,37.6180053977953,56.9928487387279,55.823594771316,37.0311122374513,14.9749268255277,11.0950806832564,13.8119927352415
"PHYBL_100577T0",26.0726672465531,26.1716109635001,20.7095445285386,26.1427052055518,25.7836396344015,21.7363952442594,10.5237280084876,6.7312174898622,8.41503314619893
"PHYBL_100582T0",25.1251744095436,32.6601919262954,17.359668543167,31.7066493021239,25.9395662534087,35.5726697690564,6.55314623529736,5.54269551614806,14.5055054744316
"PHYBL_100611T0",32.85821438015,31.7001471066615,25.8144208169602,42.1459927532053,35.4774468086357,37.8962160647173,9.98857006763641,12.6407338086406,18.1744893734267
"PHYBL_100613T0",0.994040694133647,1.03115987890688,0.680617561607965,1.07298734343751,0.300386046085807,0.608454969448264,0.127314848831768,0.346822804122662,0.210448007696909
"PHYBL_100614T0",30.7902092507581,31.7382206975733,25.7140735564683,67.5619306806076,52.3373145198463,51.7535848291793,13.0698690834662,9.24217783469475,11.2105590511784
"PHYBL_100632T0",7.82924006278671,6.88384697618565,4.67483523822242,2.58370950710649,2.48672381428762,4.39308452544847,1.75887245325043,2.1484904759931,1.97526174368539
"PHYBL_100643T0",6.75588171800678,5.20440163657345,4.57883056054545,8.25789718340014,6.63613696826963,6.91367425450327,1.04114584916173,1.65314277560035,1.68692380467585
"PHYBL_100646T0",8.02683562883696,10.9465346029838,7.45268877248787,11.2495323516069,9.06063914415236,13.9492029081115,3.04526804827634,2.3234738732709,3.23764741976803
"PHYBL_100661T0",13.1936451439792,10.9025224965852,7.01991204698047,42.3572237645238,43.6385776329451,27.5022800290621,12.4692646674686,10.4474069750627,14.0461336784244
"PHYBL_100673T0",0,0,0,0,0,0,0,0,0
"PHYBL_100690T0",15.393521786579,19.5506381406292,12.0663663372299,23.8449986978868,20.8290964121016,22.7450545378207,6.71546696648953,4.18639918615917,6.89742561844462
"PHYBL_100694T0",6.97307798416016,10.5630411860127,6.79048407096314,10.3730114483213,9.76096829505063,13.0912230854464,10.0279287989309,8.91944946480969,8.41774195993537
"PHYBL_100719T0",10.1971403723798,12.419509513741,7.96982134135199,15.4344383583598,12.8652713873994,14.8039100698132,4.68802970409053,3.60762070240235,3.93993248428963
"PHYBL_100772T0",4.19405575174178,5.45471817387536,2.74443437953866,5.71757670266148,4.61515883811321,4.27090678658918,4.66729881498944,3.13458499126509,3.79393627372144
"PHYBL_100837T0",8.28306902951135,11.3730642185233,6.35159941463172,13.1136827651021,12.334687908697,13.800246677942,4.60345048304416,3.44854099394032,4.99914364394136
"PHYBL_100857T0",0,1.2427477514069e-07,0,0,0,0,0,0,0
"PHYBL_100869T0",22.520165773145,23.3376758787391,17.2064845294958,24.7500210079298,21.1529037795471,19.2782255058405,7.78177395810647,6.51010722668628,7.81708038218993
"PHYBL_100871T0",25.2882277016027,32.2683550220276,18.1202220229077,22.2763124918249,18.1551417741313,21.7939624324302,4.19661545954265,3.67876266954061,4.05032514502814
"PHYBL_100880T0",167.538798404013,155.091359312228,70.4244659375763,108.154246323494,127.254756314887,139.64044779022,36.0025946728871,27.7526045096635,30.1486107481291
"PHYBL_100882T0",5.94941419276592,6.54451497488325,5.78422598741075,14.1824936876529,12.0568894888096,14.5969856805451,2.40678262308805,1.80774462210593,2.63342940046947
"PHYBL_100883T0",48.8723488869127,66.9754991901307,34.3615488608169,37.1242599064597,41.0193918829617,47.8825845380688,9.42619604483326,10.6105040321037,13.3093114516978
"PHYBL_100890T0",8.5915759910485,13.3451049871866,9.47587225863352,16.2791514472689,12.9297228102736,17.7356886005755,4.83073703206228,4.15820008385077,4.00368491388541
"PHYBL_100895T0",14.2051616246166,15.8474119343049,10.3700673106682,14.0842115944475,10.7436141964003,14.7317712099305,4.91500949351899,4.08991178611373,5.29759046367585
"PHYBL_100923T0",7.34215920265748,7.53161655395708,5.44408758510852,20.3943782590326,17.3499422942446,14.7819625723438,4.82367614839152,4.06255716073357,6.26352668982747
"PHYBL_100991T0",3.83899903224261,2.65394222914637,2.32180318827617,0.326922333529685,0.906157212903443,0.550330003103644,0.304232568737583,0.575437299507138,0.427970949694301
"PHYBL_101010T0",3.5344447024976,4.44248895633885,2.56510023627607,8.02416478168419,6.26823259163823,9.74549893448345,1.97604859811267,1.27483359367626,1.93762632889589
"PHYBL_101025T0",4.33433053486896,3.87216654669446,3.01964292295558,6.65292999958422,4.44524513282759,7.13065078198569,2.7553383939919,1.89179172452968,2.68144637730944
"PHYBL_101035T0",6.32796265877159,7.43922066938554,5.98870065919553,10.7485653445017,7.29453492709714,8.7592958236385,1.91842671882236,2.24219594342743,2.30135770087529
"PHYBL_101037T0",17.633454898677,22.7114258813905,13.5868712040495,25.5600602088457,18.701102246016,27.4257800023882,5.45948554510364,3.48811212491745,6.18062919108572
"PHYBL_101073T0",3.19172716133308,2.861332621424,1.83225567249154,7.85811526419717,6.55958108753537,10.8567450639384,2.46147657954793,1.59775773885894,1.87131774598189
"PHYBL_101082T0",22.3473923354356,21.3762247254407,16.8152860232499,44.6063277283988,33.2775779674461,40.6563090752779,9.32672071229276,6.50167460068808,8.42322961727618
"PHYBL_101092T0",46.8919101838345,46.6616882939953,28.2982677248358,96.6994889687916,73.944189776608,102.063866219449,38.4683995677993,39.3314300124505,49.1425777878458
"PHYBL_101127T0",0,0,0,0,0,0,0,0,0
"PHYBL_101129T0",9.84270247851256,10.9450649566301,8.01638075362487,2.98418970850946,2.4709597789057,4.40401639026152,2.43250624368149,1.79763383459503,1.8030366687909
"PHYBL_101143T0",0,0,0,0,0,0,0,0,0
"PHYBL_101207T0",41.4998467554498,51.1642512553531,31.340281290304,144.399383579529,141.084561526983,184.537548848516,13.3648960278092,8.18119917643658,12.8406648080715
"PHYBL_101235T0",15.506827000977,17.346765801569,11.7473796716339,30.8498340369814,22.6214422922827,30.1863181752092,5.98743968779794,3.90645022329335,5.92219694389197
"PHYBL_101239T0",17.018448190902,15.8086331259804,10.5117046934664,18.3316507754561,19.8446122152326,17.3096450883832,6.28785897966614,4.24010547995445,5.65633370756604
"PHYBL_101252T0",7.74127468690223,9.11993083499177,4.6119194303193,9.73651531599018,9.4905632590748,11.2645749476104,3.78452254931022,2.81858089242177,3.48682592683343
"PHYBL_101260T0",9.84794383067593,8.48219018204544,6.62969278969853,12.4036837886797,9.87160285869636,12.7715469061443,4.57474529772877,4.32468178281674,4.1756749020854
"PHYBL_101264T0",0,0,0,0,0,0,0,0,0
"PHYBL_101272T0",5.73282875013503,7.48220481421797,6.06504368727231,4.07352961098464,4.54700480441887,6.90490343340239,0.985141718983963,0.823255167717952,1.74385191776974
"PHYBL_101274T0",0,0.123716988450111,0.0397953686123293,0.156252575761991,0,0.0453157772716862,0.0201469647707063,0.0405480881887459,0
"PHYBL_101283T0",0.449816839632823,0.327647781229883,0.189003415452595,0.346537072228089,0.113033026055109,0.479813588904814,0.126693346770195,0.041498210583738,0.153934112656621
"PHYBL_101322T0",0,0,0,0,0,0,0,0,0
"PHYBL_101372T0",23.1149378911687,26.52052507751,17.1884687141186,75.0460137503088,53.8244405987854,60.5509082374746,9.44726352903761,8.62504925545631,11.973496726713
"PHYBL_101383T0",5.52790831436579,6.12965811899437,4.99758696941133,7.30611069338822,6.98660253215157,6.14732903078718,4.63802817225465,4.20120255662249,4.22606660217536
"PHYBL_101399T0",7.7468378032672,7.46514772651642,6.82533878014245,5.15494467001386,3.98201316703053,9.09743384851879,4.46575277701811,3.11599127995309,4.04002903106634
"PHYBL_101433T0",28.5457447558373,31.2121096999346,22.855685858195,52.9962068983084,41.073605747573,48.8187660992157,12.4411136229093,9.99712688886585,13.8976368560482
"PHYBL_101503T0",8.67308333530523,13.1449125297082,7.40291868604823,6.90429989781732,6.70746991014626,11.5216140425877,1.11974903294359,1.31848925439679,1.59604687706256
